5.019447010812250198e-11,2.399711540590487857e-09,2.262048504064750887e-08,1.693178546702256426e-06,1.083333726545343545e-13,1.361822654644129216e-09,7.857565545432371127e-21,9.999983310699462891e-01,2.069252769132390313e-09,4.055554470028255309e-08
3.909720544470474124e-05,4.083232779521495104e-04,9.995463490486145020e-01,1.062142374053109961e-07,9.083077172344911077e-12,1.646447561620689726e-10,6.252260220662719803e-08,1.911381192210015456e-10,5.977041837468277663e-06,8.216816577187938120e-14
1.551361037854803726e-06,9.998875856399536133e-01,2.466096475473023020e-06,1.907432363168481970e-07,5.778734248451655731e-06,1.509548837930196896e-06,4.392233279304491589e-07,9.648092964198440313e-05,4.060674200445646420e-06,4.764303795923297002e-08
9.999982118606567383e-01,5.288783100354521594e-08,1.088293788420457986e-09,3.627113193127584623e-11,2.599602133557255002e-08,8.660216987976809833e-10,6.000814778417407069e-07,1.037892616295721382e-06,4.969247235919738159e-10,1.380824699026561575e-07
4.802388957614311948e-07,1.623166667741315905e-08,8.018557906552814529e-08,9.385892951740970602e-09,9.999278783798217773e-01,8.077556956642695241e-10,4.195615943558550498e-08,3.948664743802510202e-05,1.431368890081330392e-08,3.195695899194106460e-05
1.052804634582571452e-07,9.997206330299377441e-01,1.278889385503134690e-07,6.849956157850556338e-09,6.068236416467698291e-06,8.408095197864895454e-08,8.040123233854501450e-09,2.720789634622633457e-04,6.539484616041590925e-07,1.240424296611308819e-07
2.844787393933151387e-13,2.435230612718441989e-07,9.298169629801122937e-07,7.728596096434614537e-10,9.998615980148315430e-01,1.408471472785777223e-08,2.868550730283914163e-08,5.388287718233186752e-06,1.292550441576167941e-04,2.570232027210295200e-06
2.240650758267292986e-07,2.657722143339924514e-05,7.603304311487590894e-06,4.144200647715479136e-05,8.596467785537242889e-03,3.229097055736929178e-04,4.559524757752342339e-09,5.774313194706337526e-06,3.056282585021108389e-04,9.906933903694152832e-01
1.330366483642819730e-08,1.385557779620683050e-10,1.156202841801068359e-10,5.095960320389281151e-10,3.062309770029969513e-05,9.490526318550109863e-01,5.069978907704353333e-02,1.405977334556496317e-09,1.742281747283414006e-04,4.261805952410213649e-05
8.959481073711472732e-11,2.027698842166358872e-10,1.603270294303626997e-11,3.442181650825659744e-09,7.015969913481967524e-06,3.645633128712688631e-09,2.636071394534252738e-14,4.292096855351701379e-05,9.790964213607367128e-06,9.999402761459350586e-01
1.000000000000000000e+00,1.034322227866368848e-08,4.025180633249192397e-09,4.151856289325017713e-11,1.134900990730231679e-14,2.880545628414221682e-11,1.066578825259512087e-09,1.414063088844841332e-09,5.886004184052495702e-11,5.122718693684191749e-09
2.681229088921099901e-04,5.584849418482917827e-07,1.088902479295938974e-08,1.686168182857272768e-08,2.230097706501510402e-08,5.198997143907035934e-08,9.997308850288391113e-01,6.004216013266727714e-10,2.676514156974008074e-07,2.898524475991592908e-10
3.758232391959381857e-09,4.315496404672103381e-09,2.625464845529279501e-10,8.163021902873879299e-08,7.630741456523537636e-04,1.395729576358917257e-08,4.209565909827489572e-13,1.671658537816256285e-04,2.243320523120928556e-06,9.990673661231994629e-01
9.999970197677612305e-01,1.091628263338861871e-07,1.755427921079633080e-11,3.458000812778250221e-12,1.040545358210742677e-10,1.816990113923111494e-09,9.642815257393522188e-08,3.763721281302423449e-07,5.606863417995100463e-09,2.334240207346738316e-06
